sampleCount,distinctYearsUsed,effectiveYearCount,earliestSourceYear,latestSourceYear,fallbackLevel,averageSimilarity,minimumSimilarity,topYearWeightShare,latestYearWeightShare
37,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7985,0.6944,1.0000,1.0000
21,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7349,0.6917,1.0000,1.0000
20,3,1.5295,2021,2025,SAME_REGION_TYPE,0.7978,0.7063,0.7939,0.7939
39,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7527,0.6929,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7976,0.7500,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8349,0.8250,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8071,0.7750,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7765,0.7200,1.0000,1.0000
20,3,1.4879,2021,2025,SAME_REGION_TYPE,0.8213,0.6908,0.8071,0.8071
38,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7933,0.7083,1.0000,1.0000
39,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7467,0.7019,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8092,0.7875,1.0000,1.0000
29,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8016,0.7036,1.0000,1.0000
39,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7314,0.6917,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8377,0.8250,1.0000,1.0000
29,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7458,0.7050,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8418,0.8250,1.0000,1.0000
39,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7406,0.7050,1.0000,1.0000
22,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7915,0.7295,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7909,0.7650,1.0000,1.0000
41,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7869,0.6908,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8083,0.7650,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7742,0.7161,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7858,0.7219,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7592,0.7250,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8000,0.7500,1.0000,1.0000
29,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7894,0.7107,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8010,0.7568,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8025,0.7500,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8214,0.7650,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8226,0.7875,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8316,0.8250,1.0000,1.0000
50,9,6.8072,2017,2025,SAME_REGION_TYPE,0.9171,0.8906,0.2231,0.0408
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7981,0.7750,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8085,0.7875,1.0000,1.0000
31,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7951,0.6852,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8205,0.7875,1.0000,1.0000
25,6,3.5493,2018,2025,SAME_REGION_TYPE,0.8618,0.6871,0.4482,0.4482
32,6,2.8325,2018,2025,SAME_REGION_TYPE,0.8397,0.6868,0.5451,0.5451
39,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7900,0.6840,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8080,0.7650,1.0000,1.0000
48,8,5.0317,2017,2025,SAME_REGION_TYPE,0.8231,0.6667,0.3357,0.3357
29,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8062,0.7036,1.0000,1.0000
50,6,2.9639,2017,2025,NATIONWIDE_TYPE,0.8078,0.7813,0.4977,0.1009
37,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8035,0.6944,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7967,0.7500,1.0000,1.0000
44,9,6.7561,2017,2025,SAME_REGION_TYPE,0.8914,0.7295,0.2798,0.2798
30,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7973,0.6944,1.0000,1.0000
50,5,3.4397,2017,2025,NATIONWIDE_TYPE,0.8104,0.7813,0.3573,0.1909
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8272,0.7941,1.0000,1.0000
37,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8040,0.6944,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8294,0.8250,1.0000,1.0000
21,2,1.3013,2024,2025,SAME_REGION_TYPE,0.7848,0.7250,0.8664,0.8664
22,1,1.0000,2025,2025,SAME_REGION_TYPE_VENUE,0.9117,0.8265,1.0000,1.0000
38,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8445,0.7500,1.0000,1.0000
29,1,1.0000,2025,2025,SAME_REGION_TYPE_VENUE,0.9177,0.8563,1.0000,1.0000
38,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8038,0.7083,1.0000,1.0000
22,1,1.0000,2025,2025,SAME_REGION_TYPE_VENUE,0.8580,0.8265,1.0000,1.0000
22,1,1.0000,2025,2025,SAME_REGION_TYPE_VENUE,0.8769,0.8409,1.0000,1.0000
21,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8237,0.7393,1.0000,1.0000
50,7,6.0583,2017,2025,SAME_REGION_TYPE,0.9338,0.9231,0.2383,0.0621
38,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8414,0.7500,1.0000,1.0000
41,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7925,0.7250,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8198,0.7688,1.0000,1.0000
41,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7324,0.6846,1.0000,1.0000
22,1,1.0000,2025,2025,SAME_REGION_TYPE_VENUE,0.9075,0.8353,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8005,0.7250,1.0000,1.0000
22,1,1.0000,2025,2025,SAME_REGION_TYPE_VENUE,0.8930,0.8529,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8080,0.7607,1.0000,1.0000
29,1,1.0000,2025,2025,SAME_REGION_TYPE_VENUE,0.9025,0.8600,1.0000,1.0000
41,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8193,0.7050,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8207,0.7750,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8056,0.7500,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7939,0.7250,1.0000,1.0000
29,1,1.0000,2025,2025,SAME_REGION_TYPE_VENUE,0.9175,0.8750,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8222,0.7875,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8252,0.7875,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8225,0.7875,1.0000,1.0000
39,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7978,0.6862,1.0000,1.0000
29,1,1.0000,2025,2025,SAME_REGION_TYPE_VENUE,0.8749,0.8375,1.0000,1.0000
29,1,1.0000,2025,2025,SAME_REGION_TYPE_VENUE,0.8123,0.8032,1.0000,1.0000
39,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8141,0.6840,1.0000,1.0000
29,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8033,0.6964,1.0000,1.0000
39,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8211,0.6817,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8348,0.7950,1.0000,1.0000
50,6,5.5665,2017,2022,SAME_REGION_TYPE,0.9321,0.9231,0.2391,0.1766
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8320,0.7875,1.0000,1.0000
29,1,1.0000,2025,2025,SAME_REGION_TYPE_VENUE,0.8609,0.8300,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8196,0.7750,1.0000,1.0000
23,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8125,0.7159,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8120,0.7500,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7549,0.7023,1.0000,1.0000
30,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8356,0.6944,1.0000,1.0000
38,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7968,0.7023,1.0000,1.0000
50,8,5.7700,2017,2025,SAME_REGION_TYPE,0.9295,0.9231,0.2959,0.0418
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8165,0.7650,1.0000,1.0000
29,1,1.0000,2025,2025,SAME_REGION_TYPE_VENUE,0.8402,0.8188,1.0000,1.0000
29,1,1.0000,2025,2025,SAME_REGION_TYPE_VENUE,0.8257,0.8107,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8073,0.7402,1.0000,1.0000
39,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7649,0.7041,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8177,0.7875,1.0000,1.0000
37,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8085,0.6944,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8109,0.7750,1.0000,1.0000
50,6,5.3952,2017,2022,SAME_REGION_TYPE,0.9287,0.9231,0.2600,0.1779
31,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7888,0.6877,1.0000,1.0000
50,6,4.7778,2018,2025,SAME_REGION_TYPE,0.9235,0.9231,0.2598,0.0208
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7653,0.6908,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7639,0.6865,1.0000,1.0000
29,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7063,0.6801,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8164,0.7875,1.0000,1.0000
30,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8464,0.6895,1.0000,1.0000
50,8,3.9895,2018,2025,SAME_REGION_TYPE,0.9236,0.9231,0.3596,0.0212
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8137,0.7875,1.0000,1.0000
41,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8084,0.7150,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8148,0.7875,1.0000,1.0000
37,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7447,0.7023,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7768,0.7000,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7757,0.6990,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7475,0.6871,1.0000,1.0000
50,7,4.2048,2017,2025,SAME_REGION_TYPE,0.9260,0.9231,0.3776,0.0211
28,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7664,0.7023,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7939,0.7295,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7976,0.7500,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8259,0.7875,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8054,0.7250,1.0000,1.0000
